Acrobatics	Badminton	Camping	Dance	E-sports	Farming	Gambling	Hacking	Ice climbing	Jam making	Karaoke	Lacrosse	Magic	Nail art	Oboe playing	Paint	Quarter collecting	Racing	Sailing	Table tennis	Uber driving	Vaulting	Walking	Xbox	Yachting	Zapping
Acting	Baking	Canoeing	Darts	Earring making	Fighting	Games	Handball	Ice cream making	Jamming	Karate	Landscaping	Making crafts	Nail painting	Oil painting	Parachuting	Questioning	Rafting	Shopping	Teaching	ukulele	Video games	Watering plants	xylophone	Yarn knitting	Zebra watching
Aerobics	Ballet	Chess	Decorating	Electric guitar	Filming	Gliding	Hat collecting	Ice hockey	Javelin	Karting	Learning	Making food	Nap	Online shopping	Paragliding	Questions	Rapping	Singing	Tennis	Ukulele playing	Vlogging	Whistling		Yarn spinning	Zip lining
Airplane flying	Baseball	Climbing	Dodgeball	Electronics	Flying	Going shopping	Hat making	Icing cakes	Jet skiing	Kayak	Lego	Martial arts	Necklace making	Opera	Parasailing	Quidditch	Read	Skateboarding	Texting	Ultimate Frisbee	Volleyball	Windsurfing		Yoyo	Zoo keeping
Alpine skiing	Basketball	Collecting stamps	Doodling	Embroidery	Flying a kite	Grilling	Hockey	Illustrating	Jewelry making	Kayaking	Letter writing	Milking cows	Needlework	Orange picking	Partying	Quit	Reading	Skating	Track	Uno	vacuuming	Wrestling		yarning	Zoology
Angling	Biking	Coloring	Draw	Engineering	Football	Guitar	Horse riding	Inline skating	Jogging	Kick boxing	Lettering	Minecraft	Needling	Orchestra	Photography	Quiting	Roller skating	Skiing	Training	Upcycling	vase making	Writing		yawning	Zooming
Astronomy	Bird watching	Cooking	Drawing	Entertaining	Frisbee	Guitar playing	Hula hooping	Insect collecting	Joking	Kickball	Lifting	Mountain biking	Netflix	Orienteering	Piano	Quiz 	Rollerskating	Sleeping	Traveling	underwater photography	video games	watching birds		yodel	Zorbing
Athletics	Boating	Crafting	Driving	Equestrian	fencing	Gym	Hunting	Instagram	Judo	Kite making	Listening to music	Mountain climbing	Networking	Ornithology	Ping pong	quiet time	Run	Soccer	Travelling	Underwear modeling	violin 	watching tv		yodelling 	zoo visiting
Axe throwing	Book reading	Crafts	Drumming 	Etching	finger painting	Gymnastics	hang gliding	Inventing	Jump 	Kitesurfing	Longboarding 	Movies 	Night walking 	Owl watching 	Playing		riding	Sports	Trekking	Underwater hockey	violin playing	water polo 		yoga	
air hockey 	Bowling	Cricket 	dog walking	Exercise	flower arranging 	gaming 	hiking 	internet surfing 	jousting	Knife throwing 	lifting weights	Music	Nintendo	organizing	Polo 		riding horses	Surfing 	talking 	Ushering	vollyball	water skiing		youtube	
arm wrestling	Boxing	Curling	drinking	Exercising	flying kites	go karting	hopping	ironing	jumping	kickboxing	line dancing	making cookies	netball	origami	Pool		rock climbing	Swimming	tap dancing	Underwater Diving	Volunteering	weaving		Yard work	
art	building	Cycling	dirt biking	eat	flying planes	growing plants	horseback riding	island hopping	Journaling	kicking	Legos	Marbles	Nickel collecting	Online gaming	Pottery		rugby	stamp collecting	tree climbing	Ubering	Vacation	Working out		Yarn making	
Arts	basket weaving	Cleaning	Drums	Engraving	Fortnite	Glamping	Humming	Illustration	just dance	kite surfing	long jump	Math	Night fishing	opera singing	Planting		Riding a bike	Sing	Tanning	Ultimate	Video gaming	Wine tasting			
Ant farming	Bingo	Cards	Drag racing	Exploring	Fiddling	Ghost hunting	Hugging	Investing	jumping jacks	Kung fu	Limbo	Makeup	Needle work	Ocean diving	Poker		Riding bikes	snowboarding	Travel	Under water swimming	Videogames	Weight lifting			
Aviation	Beading	Cars	Duck hunting	Eagle watching	Figure skating	Geocaching	Hair styling	Investigating	Jazz	kicking a ball	Lego building	Miming	nature walks	Observing birds	Playing games		Riding bike	Swim	Tinkering	Underwater exploration	Video editing	wakeboarding			
Arts and crafts	Bike riding	Colouring	Dominos	Editing	field hockey	Going out	Hairstyling	Ink painting	Jog	kick ball	Love making	Mapping	note taking	Ornament making	Pole dancing		Roller blading	Shooting	Trampolining	Underwater fishing		Water polo			
Astrology	Bicycling	Cook	dating	Elephant watching	Flower picking	Glass blowing	Hoarding	Ink drawing	Joggen	Knit	Looking at birds	Mountaineering	Night swimming	Outdoor sports	picking flowers		Rock collecting	Sleep	Tap dancing	Urban exploration		Weightlifting			
Anime	Break dancing	Car racing	Dining	Escape rooms	Fight	Grappling	Hairdressing	Icing	Jigsaw puzzles	kniting	Logging	Marching	Noodling	Oceanography	play		Restingroller skating	Skydiving	Trainspotting	Underwater sports		Water sports			
animal crossing	Bungee jumping	Carving	Dominoes	Excercise	food	Gun collecting	Hair braiding	Interior design	Jujitsu	Kiteboarding	Lap dancing	Making cakes	nitpicking	Organize	Puzzles		Rodeoriding a horse	Skipping	trains	UFO watching		write			
Arm wrestling	Bee keeping	Craft	Drink	Elephant riding	Film	Grape picking	Helicopter flying	Internet shopping	Jetskiing	Killing time	Literature	Modeling	Nordic walking	Outdoors	Playing cards		Rakingracket ball	Sport	Tango	Underwater polo		Waiting			
Animation	Belly dancing	Carpentry	Dog walking	english	Foraging	go carting	Hide and seek	ice carving	Javelin throwing	kicking ball	Leaping	making music	Net fishing	outdoor hiking	playing video games		Racketball	Surf	track and field	Undersea diving		walk			
Architecture	Breakdancing	crocheting	dancing	Electric trains	Flute playing	Go-karting	Helping people	Instagramming	Juuling	kangaroo watching	Long boarding	Marching band	Newspaper reading	organising	Paintball		Rounders	Scuba diving	Tightrope walking	Using the computer		Whale Watching			
Antiquing	Backpacking	Coin collecting	Dodge ball	egg collecting	Face painting	game	hula hoop	ice dancing	Jenga	kick	Learn	Making stuff	netting	olive picking	Parkour		Racecar driving	Stargazing	Train spotting	Unicycling		Work			
